sentid,example_id,sentence,has_pronoun,template,word
technician.customer.1.male.txt,technician.customer.1,The technician told the customer that he could pay with cash.,True,The technician told the customer that {pronoun} could pay with cash.,customer
technician.someone.1.male.txt,technician.someone.1,The technician told someone that he could pay with cash.,True,The technician told someone that {pronoun} could pay with cash.,someone
technician.customer.0.male.txt,technician.customer.0,The technician told the customer that he had completed the repair.,True,The technician told the customer that {pronoun} had completed the repair.,technician
technician.someone.0.male.txt,technician.someone.0,The technician told someone that he had completed the repair.,True,The technician told someone that {pronoun} had completed the repair.,technician
accountant.taxpayer.1.male.txt,accountant.taxpayer.1,The taxpayer met with the accountant to get help filing his taxes.,True,The taxpayer met with the accountant to get help filing {pronoun1} taxes.,taxpayer
accountant.someone.1.male.txt,accountant.someone.1,Someone met with the accountant to get help filing his taxes.,True,Someone met with the accountant to get help filing {pronoun1} taxes.,someone
accountant.taxpayer.0.male.txt,accountant.taxpayer.0,The taxpayer met with the accountant to find out if he could help with tax preparation.,True,The taxpayer met with the accountant to find out if {pronoun} could help with tax preparation.,accountant
accountant.someone.0.male.txt,accountant.someone.0,Someone met with the accountant to find out if he could help with tax preparation.,True,Someone met with the accountant to find out if {pronoun} could help with tax preparation.,accountant
supervisor.employee.1.male.txt,supervisor.employee.1,The supervisor gave the employee feedback on his stellar performance.,True,The supervisor gave the employee feedback on {pronoun1} stellar performance.,employee
supervisor.someone.1.male.txt,supervisor.someone.1,The supervisor gave someone feedback on his stellar performance.,True,The supervisor gave someone feedback on {pronoun1} stellar performance.,someone
supervisor.employee.0.male.txt,supervisor.employee.0,The employee gave the supervisor feedback on his managing style.,True,The employee gave the supervisor feedback on {pronoun1} managing style.,supervisor
supervisor.someone.0.male.txt,supervisor.someone.0,Someone gave the supervisor feedback on his managing style.,True,Someone gave the supervisor feedback on {pronoun1} managing style.,supervisor
engineer.client.0.male.txt,engineer.client.0,The engineer informed the client that he would need more time to complete the project.,True,The engineer informed the client that {pronoun} would need more time to complete the project.,engineer
engineer.someone.0.male.txt,engineer.someone.0,The engineer informed someone that he would need more time to complete the project.,True,The engineer informed someone that {pronoun} would need more time to complete the project.,engineer
engineer.client.1.male.txt,engineer.client.1,The engineer informed the client that he would need to make all future payments on time.,True,The engineer informed the client that {pronoun} would need to make all future payments on time.,client
engineer.someone.1.male.txt,engineer.someone.1,The engineer informed someone that he would need to make all future payments on time.,True,The engineer informed someone that {pronoun} would need to make all future payments on time.,someone
worker.pedestrian.1.male.txt,worker.pedestrian.1,The worker told the pedestrian that he should avoid the closed portion of the street.,True,The worker told the pedestrian that {pronoun} should avoid the closed portion of the street.,pedestrian
worker.someone.1.male.txt,worker.someone.1,The worker told someone that he should avoid the closed portion of the street.,True,The worker told someone that {pronoun} should avoid the closed portion of the street.,someone
worker.pedestrian.0.male.txt,worker.pedestrian.0,The worker told the pedestrian that he was repairing the sidewalk as quickly as possible.,True,The worker told the pedestrian that {pronoun} was repairing the sidewalk as quickly as possible.,worker
worker.someone.0.male.txt,worker.someone.0,The worker told someone that he was repairing the sidewalk as quickly as possible.,True,The worker told someone that {pronoun} was repairing the sidewalk as quickly as possible.,worker
educator.student.1.male.txt,educator.student.1,The educator was meeting with a student to discuss his writing skills.,True,The educator was meeting with a student to discuss {pronoun1} writing skills.,student
educator.someone.1.male.txt,educator.someone.1,The educator was meeting with someone to discuss his writing skills.,True,The educator was meeting with someone to discuss {pronoun1} writing skills.,someone
educator.student.0.male.txt,educator.student.0,The educator was meeting with a student to discuss his grading policy.,True,The educator was meeting with a student to discuss {pronoun1} grading policy.,educator
educator.someone.0.male.txt,educator.someone.0,The educator was meeting with someone to discuss his grading policy.,True,The educator was meeting with someone to discuss {pronoun1} grading policy.,educator
clerk.customer.1.male.txt,clerk.customer.1,The clerk provided the customer with paperwork for him to fill out.,True,The clerk provided the customer with paperwork for {pronoun2} to fill out.,customer
clerk.someone.1.male.txt,clerk.someone.1,The clerk provided someone with paperwork for him to fill out.,True,The clerk provided someone with paperwork for {pronoun2} to fill out.,someone
clerk.customer.0.male.txt,clerk.customer.0,The clerk provided the customer with paperwork to return to him upon completion.,True,The clerk provided the customer with paperwork to return to {pronoun2} upon completion.,clerk
clerk.someone.0.male.txt,clerk.someone.0,The clerk provided someone with paperwork to return to him upon completion.,True,The clerk provided someone with paperwork to return to {pronoun2} upon completion.,clerk
counselor.patient.0.male.txt,counselor.patient.0,The counselor disclosed to the patient that he was professionally mandated to report certain issues.,True,The counselor disclosed to the patient that {pronoun} was professionally mandated to report certain issues.,counselor
counselor.someone.0.male.txt,counselor.someone.0,The counselor disclosed to someone that he was professionally mandated to report certain issues.,True,The counselor disclosed to someone that {pronoun} was professionally mandated to report certain issues.,counselor
counselor.patient.1.male.txt,counselor.patient.1,The patient disclosed to the counselor that he had a history of substance abuse.,True,The patient disclosed to the counselor that {pronoun} had a history of substance abuse.,patient
counselor.someone.1.male.txt,counselor.someone.1,Someone disclosed to the counselor that he had a history of substance abuse.,True,Someone disclosed to the counselor that {pronoun} had a history of substance abuse.,someone
inspector.homeowner.1.male.txt,inspector.homeowner.1,The homeowner asked the inspector if the house he had purchased was structurally sound.,True,The homeowner asked the inspector if the house {pronoun} had purchased was structurally sound.,homeowner
inspector.someone.1.male.txt,inspector.someone.1,Someone asked the inspector if the house he had purchased was structurally sound.,True,Someone asked the inspector if the house {pronoun} had purchased was structurally sound.,someone
inspector.homeowner.0.male.txt,inspector.homeowner.0,The homeowner asked the inspector if he had discovered any building code violations.,True,The homeowner asked the inspector if {pronoun} had discovered any building code violations.,inspector
inspector.someone.0.male.txt,inspector.someone.0,Someone asked the inspector if he had discovered any building code violations.,True,Someone asked the inspector if {pronoun} had discovered any building code violations.,inspector
mechanic.customer.1.male.txt,mechanic.customer.1,The mechanic called to inform the customer that his car would be ready in the morning.,True,The mechanic called to inform the customer that {pronoun1} car would be ready in the morning.,customer
mechanic.someone.1.male.txt,mechanic.someone.1,The mechanic called to inform someone that his car would be ready in the morning.,True,The mechanic called to inform someone that {pronoun1} car would be ready in the morning.,someone
mechanic.customer.0.male.txt,mechanic.customer.0,The mechanic called to inform the customer that he had completed the repair.,True,The mechanic called to inform the customer that {pronoun} had completed the repair.,mechanic
mechanic.someone.0.male.txt,mechanic.someone.0,The mechanic called to inform someone that he had completed the repair.,True,The mechanic called to inform someone that {pronoun} had completed the repair.,mechanic
manager.customer.0.male.txt,manager.customer.0,The customer asked to speak with the manager because he would be able to fix the billing error.,True,The customer asked to speak with the manager because {pronoun} would be able to fix the billing error.,manager
manager.someone.0.male.txt,manager.someone.0,Someone asked to speak with the manager because he would be able to fix the billing error.,True,Someone asked to speak with the manager because {pronoun} would be able to fix the billing error.,manager
manager.customer.1.male.txt,manager.customer.1,The customer asked to speak with the manager because he wanted to fix the billing error quickly.,True,The customer asked to speak with the manager because {pronoun} wanted to fix the billing error quickly.,customer
manager.someone.1.male.txt,manager.someone.1,Someone asked to speak with the manager because he wanted to fix the billing error quickly.,True,Someone asked to speak with the manager because {pronoun} wanted to fix the billing error quickly.,someone
therapist.teenager.0.male.txt,therapist.teenager.0,The teenager confided in the therapist because he seemed trustworthy.,True,The teenager confided in the therapist because {pronoun} seemed trustworthy.,therapist
therapist.someone.0.male.txt,therapist.someone.0,Someone confided in the therapist because he seemed trustworthy.,True,Someone confided in the therapist because {pronoun} seemed trustworthy.,therapist
therapist.teenager.1.male.txt,therapist.teenager.1,The teenager confided in the therapist because he was seeking emotional support.,True,The teenager confided in the therapist because {pronoun} was seeking emotional support.,teenager
therapist.someone.1.male.txt,therapist.someone.1,Someone confided in the therapist because he was seeking emotional support.,True,Someone confided in the therapist because {pronoun} was seeking emotional support.,someone
administrator.undergraduate.1.male.txt,administrator.undergraduate.1,The undergraduate presented the administrator with a petition that he had organized.,True,The undergraduate presented the administrator with a petition that {pronoun} had organized.,undergraduate
administrator.someone.1.male.txt,administrator.someone.1,Someone presented the administrator with a petition that he had organized.,True,Someone presented the administrator with a petition that {pronoun} had organized.,someone
administrator.undergraduate.0.male.txt,administrator.undergraduate.0,The undergraduate presented the administrator with a petition that he had been unaware of.,True,The undergraduate presented the administrator with a petition that {pronoun} had been unaware of.,administrator
administrator.someone.0.male.txt,administrator.someone.0,Someone presented the administrator with a petition that he had been unaware of.,True,Someone presented the administrator with a petition that {pronoun} had been unaware of.,administrator
salesperson.customer.0.male.txt,salesperson.customer.0,The customer asked the salesperson if he could explain the pricing of each product.,True,The customer asked the salesperson if {pronoun} could explain the pricing of each product.,salesperson
salesperson.someone.0.male.txt,salesperson.someone.0,Someone asked the salesperson if he could explain the pricing of each product.,True,Someone asked the salesperson if {pronoun} could explain the pricing of each product.,salesperson
salesperson.customer.1.male.txt,salesperson.customer.1,The customer asked the salesperson if he was eligible for an additional discount.,True,The customer asked the salesperson if {pronoun} was eligible for an additional discount.,customer
salesperson.someone.1.male.txt,salesperson.someone.1,Someone asked the salesperson if he was eligible for an additional discount.,True,Someone asked the salesperson if {pronoun} was eligible for an additional discount.,someone
receptionist.visitor.1.male.txt,receptionist.visitor.1,The visitor asked the receptionist if he needed to sign in.,True,The visitor asked the receptionist if {pronoun} needed to sign in.,visitor
receptionist.someone.1.male.txt,receptionist.someone.1,Someone asked the receptionist if he needed to sign in.,True,Someone asked the receptionist if {pronoun} needed to sign in.,someone
receptionist.visitor.0.male.txt,receptionist.visitor.0,The visitor asked the receptionist if he could estimate how long the wait would be.,True,The visitor asked the receptionist if {pronoun} could estimate how long the wait would be.,receptionist
receptionist.someone.0.male.txt,receptionist.someone.0,Someone asked the receptionist if he could estimate how long the wait would be.,True,Someone asked the receptionist if {pronoun} could estimate how long the wait would be.,receptionist
librarian.child.1.male.txt,librarian.child.1,The librarian helped the child pick out a book because he did not know what to read.,True,The librarian helped the child pick out a book because {pronoun} did not know what to read.,child
librarian.someone.1.male.txt,librarian.someone.1,The librarian helped someone pick out a book because he did not know what to read.,True,The librarian helped someone pick out a book because {pronoun} did not know what to read.,someone
librarian.child.0.male.txt,librarian.child.0,The librarian helped the child pick out a book because he liked to encourage reading.,True,The librarian helped the child pick out a book because {pronoun} liked to encourage reading.,librarian
librarian.someone.0.male.txt,librarian.someone.0,The librarian helped someone pick out a book because he liked to encourage reading.,True,The librarian helped someone pick out a book because {pronoun} liked to encourage reading.,librarian
advisor.advisee.1.male.txt,advisor.advisee.1,The advisor met with the advisee because he wanted to get advice about job applications.,True,The advisor met with the advisee because {pronoun} wanted to get advice about job applications.,advisee
advisor.someone.1.male.txt,advisor.someone.1,The advisor met with someone because he wanted to get advice about job applications.,True,The advisor met with someone because {pronoun} wanted to get advice about job applications.,someone
advisor.advisee.0.male.txt,advisor.advisee.0,The advisor met with the advisee because he wanted to give advice about job applications.,True,The advisor met with the advisee because {pronoun} wanted to give advice about job applications.,advisor
advisor.someone.0.male.txt,advisor.someone.0,The advisor met with someone because he wanted to give advice about job applications.,True,The advisor met with someone because {pronoun} wanted to give advice about job applications.,advisor
pharmacist.patient.1.male.txt,pharmacist.patient.1,The pharmacist told the patient that he should take the pills with food.,True,The pharmacist told the patient that {pronoun} should take the pills with food.,patient
pharmacist.someone.1.male.txt,pharmacist.someone.1,The pharmacist told someone that he should take the pills with food.,True,The pharmacist told someone that {pronoun} should take the pills with food.,someone
pharmacist.patient.0.male.txt,pharmacist.patient.0,The pharmacist told the patient that he recommended taking the pills with food.,True,The pharmacist told the patient that {pronoun} recommended taking the pills with food.,pharmacist
pharmacist.someone.0.male.txt,pharmacist.someone.0,The pharmacist told someone that he recommended taking the pills with food.,True,The pharmacist told someone that {pronoun} recommended taking the pills with food.,pharmacist
janitor.child.1.male.txt,janitor.child.1,"The janitor warned the child not to step on the wet floor, otherwise he might fall and get hurt.",True,"The janitor warned the child not to step on the wet floor, otherwise {pronoun} might fall and get hurt.",child
janitor.someone.1.male.txt,janitor.someone.1,"The janitor warned someone not to step on the wet floor, otherwise he might fall and get hurt.",True,"The janitor warned someone not to step on the wet floor, otherwise {pronoun} might fall and get hurt.",someone
janitor.child.0.male.txt,janitor.child.0,"The janitor warned the child not to step on the wet floor, otherwise he would have to mop it all over again.",True,"The janitor warned the child not to step on the wet floor, otherwise {pronoun} would have to mop it all over again.",janitor
janitor.someone.0.male.txt,janitor.someone.0,"The janitor warned someone not to step on the wet floor, otherwise he would have to mop it all over again.",True,"The janitor warned someone not to step on the wet floor, otherwise {pronoun} would have to mop it all over again.",janitor
psychologist.patient.0.male.txt,psychologist.patient.0,The psychologist told the patient to fill out a questionnaire so he could make a preliminary assessment.,True,The psychologist told the patient to fill out a questionnaire so {pronoun} could make a preliminary assessment.,psychologist
psychologist.someone.0.male.txt,psychologist.someone.0,The psychologist told someone to fill out a questionnaire so he could make a preliminary assessment.,True,The psychologist told someone to fill out a questionnaire so {pronoun} could make a preliminary assessment.,psychologist
psychologist.patient.1.male.txt,psychologist.patient.1,The psychologist told the patient to fill out a questionnaire so he could be quickly assessed.,True,The psychologist told the patient to fill out a questionnaire so {pronoun} could be quickly assessed.,patient
psychologist.someone.1.male.txt,psychologist.someone.1,The psychologist told someone to fill out a questionnaire so he could be quickly assessed.,True,The psychologist told someone to fill out a questionnaire so {pronoun} could be quickly assessed.,someone
physician.patient.1.male.txt,physician.patient.1,The physician warned the patient that he needed to get more rest.,True,The physician warned the patient that {pronoun} needed to get more rest.,patient
physician.someone.1.male.txt,physician.someone.1,The physician warned someone that he needed to get more rest.,True,The physician warned someone that {pronoun} needed to get more rest.,someone
physician.patient.0.male.txt,physician.patient.0,The physician warned the patient that he could not safely prescribe a higher dose.,True,The physician warned the patient that {pronoun} could not safely prescribe a higher dose.,physician
physician.someone.0.male.txt,physician.someone.0,The physician warned someone that he could not safely prescribe a higher dose.,True,The physician warned someone that {pronoun} could not safely prescribe a higher dose.,physician
carpenter.onlooker.1.male.txt,carpenter.onlooker.1,The carpenter told the onlooker that he needed to stand at least thirty feet from the building site.,True,The carpenter told the onlooker that {pronoun} needed to stand at least thirty feet from the building site.,onlooker
carpenter.someone.1.male.txt,carpenter.someone.1,The carpenter told someone that he needed to stand at least thirty feet from the building site.,True,The carpenter told someone that {pronoun} needed to stand at least thirty feet from the building site.,someone
carpenter.onlooker.0.male.txt,carpenter.onlooker.0,The carpenter told the onlooker that he had been working on the house for three weeks.,True,The carpenter told the onlooker that {pronoun} had been working on the house for three weeks.,carpenter
carpenter.someone.0.male.txt,carpenter.someone.0,The carpenter told someone that he had been working on the house for three weeks.,True,The carpenter told someone that {pronoun} had been working on the house for three weeks.,carpenter
nurse.patient.0.male.txt,nurse.patient.0,The nurse notified the patient that his shift would be ending in an hour.,True,The nurse notified the patient that {pronoun1} shift would be ending in an hour.,nurse
nurse.someone.0.male.txt,nurse.someone.0,The nurse notified someone that his shift would be ending in an hour.,True,The nurse notified someone that {pronoun1} shift would be ending in an hour.,nurse
nurse.patient.1.male.txt,nurse.patient.1,The nurse notified the patient that his blood would be drawn in an hour.,True,The nurse notified the patient that {pronoun1} blood would be drawn in an hour.,patient
nurse.someone.1.male.txt,nurse.someone.1,The nurse notified someone that his blood would be drawn in an hour.,True,The nurse notified someone that {pronoun1} blood would be drawn in an hour.,someone
investigator.witness.1.male.txt,investigator.witness.1,"The investigator wanted to interview the witness in person, but he was unreachable.",True,"The investigator wanted to interview the witness in person, but {pronoun} was unreachable.",witness
investigator.someone.1.male.txt,investigator.someone.1,"The investigator wanted to interview someone in person, but he was unreachable.",True,"The investigator wanted to interview someone in person, but {pronoun} was unreachable.",someone
investigator.witness.0.male.txt,investigator.witness.0,"The investigator wanted to interview the witness in person, but he was unable to get in contact.",True,"The investigator wanted to interview the witness in person, but {pronoun} was unable to get in contact.",investigator
investigator.someone.0.male.txt,investigator.someone.0,"The investigator wanted to interview someone in person, but he was unable to get in contact.",True,"The investigator wanted to interview someone in person, but {pronoun} was unable to get in contact.",investigator
bartender.customer.1.male.txt,bartender.customer.1,The customer left the bartender a big tip because he was feeling generous.,True,The customer left the bartender a big tip because {pronoun} was feeling generous.,customer
bartender.someone.1.male.txt,bartender.someone.1,Someone left the bartender a big tip because he was feeling generous.,True,Someone left the bartender a big tip because {pronoun} was feeling generous.,someone
bartender.customer.0.male.txt,bartender.customer.0,The customer left the bartender a big tip because he had made the drink very strong.,True,The customer left the bartender a big tip because {pronoun} had made the drink very strong.,bartender
bartender.someone.0.male.txt,bartender.someone.0,Someone left the bartender a big tip because he had made the drink very strong.,True,Someone left the bartender a big tip because {pronoun} had made the drink very strong.,bartender
specialist.patient.1.male.txt,specialist.patient.1,The patient was referred to the specialist because he had a rare skin condition.,True,The patient was referred to the specialist because {pronoun} had a rare skin condition.,patient
specialist.someone.1.male.txt,specialist.someone.1,Someone was referred to the specialist because he had a rare skin condition.,True,Someone was referred to the specialist because {pronoun} had a rare skin condition.,someone
specialist.patient.0.male.txt,specialist.patient.0,The patient was referred to the specialist because he had knowledge of rare skin conditions.,True,The patient was referred to the specialist because {pronoun} had knowledge of rare skin conditions.,specialist
specialist.someone.0.male.txt,specialist.someone.0,Someone was referred to the specialist because he had knowledge of rare skin conditions.,True,Someone was referred to the specialist because {pronoun} had knowledge of rare skin conditions.,specialist
electrician.homeowner.1.male.txt,electrician.homeowner.1,The electrician warned the homeowner not to try rewiring anything on his own.,True,The electrician warned the homeowner not to try rewiring anything on {pronoun1} own.,homeowner
electrician.someone.1.male.txt,electrician.someone.1,The electrician warned someone not to try rewiring anything on his own.,True,The electrician warned someone not to try rewiring anything on {pronoun1} own.,someone
electrician.homeowner.0.male.txt,electrician.homeowner.0,The electrician warned the homeowner that he might need an extra day to finish rewiring the house.,True,The electrician warned the homeowner that {pronoun} might need an extra day to finish rewiring the house.,electrician
electrician.someone.0.male.txt,electrician.someone.0,The electrician warned someone that he might need an extra day to finish rewiring the house.,True,The electrician warned someone that {pronoun} might need an extra day to finish rewiring the house.,electrician
officer.protester.0.male.txt,officer.protester.0,The officer arrested the protester even though he was not on duty.,True,The officer arrested the protester even though {pronoun} was not on duty.,officer
officer.someone.0.male.txt,officer.someone.0,The officer arrested someone even though he was not on duty.,True,The officer arrested someone even though {pronoun} was not on duty.,officer
officer.protester.1.male.txt,officer.protester.1,The officer arrested the protester even though he was not violent.,True,The officer arrested the protester even though {pronoun} was not violent.,protester
officer.someone.1.male.txt,officer.someone.1,The officer arrested someone even though he was not violent.,True,The officer arrested someone even though {pronoun} was not violent.,someone
pathologist.victim.0.male.txt,pathologist.victim.0,The pathologist obtained tissue samples from the victim to look at under his microscope.,True,The pathologist obtained tissue samples from the victim to look at under {pronoun1} microscope.,pathologist
pathologist.someone.0.male.txt,pathologist.someone.0,The pathologist obtained tissue samples from someone to look at under his microscope.,True,The pathologist obtained tissue samples from someone to look at under {pronoun1} microscope.,pathologist
pathologist.victim.1.male.txt,pathologist.victim.1,The pathologist obtained tissue samples from the victim to determine the cause of his death.,True,The pathologist obtained tissue samples from the victim to determine the cause of {pronoun1} death.,victim
pathologist.someone.1.male.txt,pathologist.someone.1,The pathologist obtained tissue samples from someone to determine the cause of his death.,True,The pathologist obtained tissue samples from someone to determine the cause of {pronoun1} death.,someone
teacher.student.1.male.txt,teacher.student.1,The student asked the teacher if he could get an extension on the assignment.,True,The student asked the teacher if {pronoun} could get an extension on the assignment.,student
teacher.someone.1.male.txt,teacher.someone.1,Someone asked the teacher if he could get an extension on the assignment.,True,Someone asked the teacher if {pronoun} could get an extension on the assignment.,someone
teacher.student.0.male.txt,teacher.student.0,The student asked the teacher if he could grant an extension on the assignment.,True,The student asked the teacher if {pronoun} could grant an extension on the assignment.,teacher
teacher.someone.0.male.txt,teacher.someone.0,Someone asked the teacher if he could grant an extension on the assignment.,True,Someone asked the teacher if {pronoun} could grant an extension on the assignment.,teacher
lawyer.witness.1.male.txt,lawyer.witness.1,The lawyer cross-examined the witness until he broke under pressure.,True,The lawyer cross-examined the witness until {pronoun} broke under pressure.,witness
lawyer.someone.1.male.txt,lawyer.someone.1,The lawyer cross-examined someone until he broke under pressure.,True,The lawyer cross-examined someone until {pronoun} broke under pressure.,someone
lawyer.witness.0.male.txt,lawyer.witness.0,The lawyer cross-examined the witness until he was finished asking questions.,True,The lawyer cross-examined the witness until {pronoun} was finished asking questions.,lawyer
lawyer.someone.0.male.txt,lawyer.someone.0,The lawyer cross-examined someone until he was finished asking questions.,True,The lawyer cross-examined someone until {pronoun} was finished asking questions.,lawyer
